File Size,Block Size,Speed,Encryption,Operation,Trial
524288,2048,159872.0,LUKS,write,1
524288,4096,579430.0,LUKS,write,1
524288,8192,767887.0,LUKS,write,1
524288,16384,781292.0,LUKS,write,1
1048576,64,338419.0,LUKS,write,1
1048576,128,736864.0,LUKS,write,1
1048576,256,662084.0,LUKS,write,1
1048576,512,70298.0,LUKS,write,1
1048576,1024,102373.0,LUKS,write,1
1048576,2048,112161.0,LUKS,write,1
1048576,4096,79484.0,LUKS,write,1
1048576,8192,502927.0,LUKS,write,1
1048576,16384,697291.0,LUKS,write,1
64,4,913649.0,LUKS,write,2
64,8,1285575.0,LUKS,write,2
64,16,444572.0,LUKS,write,2
64,32,1330167.0,LUKS,write,2
64,64,1143223.0,LUKS,write,2
128,4,876086.0,LUKS,write,2
128,8,1421023.0,LUKS,write,2
128,16,1306873.0,LUKS,write,2
128,32,1065630.0,LUKS,write,2
128,64,1663139.0,LUKS,write,2
128,128,1346196.0,LUKS,write,2
256,4,1561112.0,LUKS,write,2
256,8,2000242.0,LUKS,write,2
256,16,2285501.0,LUKS,write,2
256,32,2435861.0,LUKS,write,2
256,64,1894373.0,LUKS,write,2
256,128,2509882.0,LUKS,write,2
256,256,2030503.0,LUKS,write,2
512,4,1336492.0,LUKS,write,2
512,8,2189509.0,LUKS,write,2
512,16,1764853.0,LUKS,write,2
512,32,3196584.0,LUKS,write,2
512,64,3220553.0,LUKS,write,2
512,128,3510074.0,LUKS,write,2
512,256,3504346.0,LUKS,write,2
512,512,1640796.0,LUKS,write,2
1024,4,1497127.0,LUKS,write,2
1024,8,2343383.0,LUKS,write,2
1024,16,2944166.0,LUKS,write,2
1024,32,3314514.0,LUKS,write,2
1024,64,3631168.0,LUKS,write,2
1024,128,3553066.0,LUKS,write,2
1024,256,3121783.0,LUKS,write,2
1024,512,3377062.0,LUKS,write,2
1024,1024,2311849.0,LUKS,write,2
2048,4,1713940.0,LUKS,write,2
2048,8,2676988.0,LUKS,write,2
2048,16,3084572.0,LUKS,write,2
2048,32,3225896.0,LUKS,write,2
2048,64,3396834.0,LUKS,write,2
2048,128,3779440.0,LUKS,write,2
2048,256,3500658.0,LUKS,write,2
2048,512,2560486.0,LUKS,write,2
2048,1024,3384788.0,LUKS,write,2
2048,2048,2836079.0,LUKS,write,2
4096,4,1888560.0,LUKS,write,2
4096,8,2694963.0,LUKS,write,2
4096,16,3287506.0,LUKS,write,2
4096,32,3489144.0,LUKS,write,2
4096,64,3192806.0,LUKS,write,2
4096,128,3217923.0,LUKS,write,2
4096,256,3733288.0,LUKS,write,2
4096,512,3856480.0,LUKS,write,2
4096,1024,3537277.0,LUKS,write,2
4096,2048,2607037.0,LUKS,write,2
4096,4096,2369047.0,LUKS,write,2
8192,4,1761694.0,LUKS,write,2
8192,8,2801490.0,LUKS,write,2
8192,16,3343751.0,LUKS,write,2
8192,32,3423373.0,LUKS,write,2
8192,64,3915726.0,LUKS,write,2
8192,128,4019714.0,LUKS,write,2
8192,256,3726731.0,LUKS,write,2
8192,512,3667070.0,LUKS,write,2
8192,1024,3489075.0,LUKS,write,2
8192,2048,2245029.0,LUKS,write,2
8192,4096,883538.0,LUKS,write,2
8192,8192,756909.0,LUKS,write,2
16384,4,1213807.0,LUKS,write,2
16384,8,753628.0,LUKS,write,2
16384,16,3175311.0,LUKS,write,2
16384,32,1384613.0,LUKS,write,2
16384,64,3930014.0,LUKS,write,2
16384,128,3966078.0,LUKS,write,2
16384,256,3376081.0,LUKS,write,2
16384,512,3757050.0,LUKS,write,2
16384,1024,3271607.0,LUKS,write,2
16384,2048,1851538.0,LUKS,write,2
16384,4096,1996567.0,LUKS,write,2
16384,8192,3088403.0,LUKS,write,2
16384,16384,1130239.0,LUKS,write,2
32768,64,3274554.0,LUKS,write,2
32768,128,2409949.0,LUKS,write,2
32768,256,2521177.0,LUKS,write,2
32768,512,3766915.0,LUKS,write,2
32768,1024,3520392.0,LUKS,write,2
32768,2048,2139034.0,LUKS,write,2
32768,4096,1512848.0,LUKS,write,2
32768,8192,3400539.0,LUKS,write,2
32768,16384,3229313.0,LUKS,write,2
65536,64,1927468.0,LUKS,write,2
65536,128,2347100.0,LUKS,write,2
65536,256,2271759.0,LUKS,write,2
65536,512,2103606.0,LUKS,write,2
65536,1024,2690428.0,LUKS,write,2
65536,2048,2001881.0,LUKS,write,2
65536,4096,1983120.0,LUKS,write,2
65536,8192,1890068.0,LUKS,write,2
65536,16384,1595902.0,LUKS,write,2
131072,64,1511265.0,LUKS,write,2
131072,128,2169031.0,LUKS,write,2
131072,256,1332599.0,LUKS,write,2
131072,512,1908835.0,LUKS,write,2
131072,1024,1878063.0,LUKS,write,2
131072,2048,1455998.0,LUKS,write,2
131072,4096,2105264.0,LUKS,write,2
131072,8192,1837107.0,LUKS,write,2
131072,16384,1446821.0,LUKS,write,2
262144,64,1090095.0,LUKS,write,2
262144,128,1172950.0,LUKS,write,2
262144,256,760516.0,LUKS,write,2
262144,512,1039239.0,LUKS,write,2
262144,1024,1128786.0,LUKS,write,2
262144,2048,1167850.0,LUKS,write,2
262144,4096,1030497.0,LUKS,write,2
262144,8192,1026976.0,LUKS,write,2
262144,16384,289589.0,LUKS,write,2
524288,64,753670.0,LUKS,write,2
524288,128,878856.0,LUKS,write,2
524288,256,180998.0,LUKS,write,2
524288,512,613958.0,LUKS,write,2
524288,1024,866093.0,LUKS,write,2
524288,2048,49841.0,LUKS,write,2
524288,4096,180448.0,LUKS,write,2
524288,8192,153024.0,LUKS,write,2
524288,16384,789774.0,LUKS,write,2
1048576,64,293155.0,LUKS,write,2
1048576,128,377589.0,LUKS,write,2
1048576,256,602002.0,LUKS,write,2
1048576,512,724560.0,LUKS,write,2
1048576,1024,59929.0,LUKS,write,2
1048576,2048,88913.0,LUKS,write,2
1048576,4096,700845.0,LUKS,write,2
1048576,8192,59602.0,LUKS,write,2
1048576,16384,60851.0,LUKS,write,2
64,4,551422.0,LUKS,write,3
64,8,1105556.0,LUKS,write,3
64,16,1033216.0,LUKS,write,3
64,32,1017549.0,LUKS,write,3
64,64,955947.0,LUKS,write,3
128,4,1349580.0,LUKS,write,3
128,8,1487977.0,LUKS,write,3
128,16,1142750.0,LUKS,write,3
128,32,1852520.0,LUKS,write,3
128,64,2608629.0,LUKS,write,3
128,128,2166499.0,LUKS,write,3
256,4,1241598.0,LUKS,write,3
256,8,2152625.0,LUKS,write,3
256,16,2102055.0,LUKS,write,3
256,32,2458168.0,LUKS,write,3
256,64,2441400.0,LUKS,write,3
256,128,2692393.0,LUKS,write,3
